iter	Passed	Remaining
697	690794	9205969
698	691698	9203850
699	693049	9207652
700	694136	9207958
701	695126	9206956
702	696330	9208797
703	697903	9215501
704	698872	9214210
705	699714	9211259
706	700434	9206698
707	701249	9203410
708	702076	9200270
709	702903	9197146
710	703715	9193823
711	704573	9191126
712	705463	9188836
713	706277	9185560
714	707286	9184838
715	708236	9183335
716	709320	9183568
717	710161	9180668
718	711093	9178944
719	712081	9177942
720	713046	9176639
721	714024	9175512
722	714896	9173017
723	715811	9171092
724	716772	9169749
725	717554	9166115
726	718431	9163702
727	719345	9161773
728	720275	9160049
729	721189	9158113
730	721974	9154557
731	722901	9152796
732	723748	9150035
733	724760	9149365
734	725604	9146562
735	726235	9141097
736	727108	9138675
737	727962	9136031
738	728854	9133864
739	729662	9130642
740	730640	9129559
741	731582	9128017
742	732372	9124587
743	733338	9123362
744	734203	9120876
745	735193	9119941
746	736141	9118493
747	737083	9116975
748	737929	9114261
749	738980	9114091
750	739893	9112221
751	740689	9108901
752	741654	9107677
753	742707	9107528
754	743794	9107792
755	745142	9111234
756	746310	9112477
757	747272	9111201
758	748150	9108905
759	749129	9107838
760	749985	9105282
761	750819	9102458
762	751682	9099988
763	752617	9098391
764	753444	9095502
765	754288	9092819
766	755183	9090754
767	756155	9089617
768	757155	9088815
769	758211	9088689
770	759009	9085467
771	759804	9082227
772	760789	9081253
773	761691	9079288
774	762574	9077101
775	763377	9073964
776	764094	9069806
