iter	Passed	Remaining
596	205864	3242456
597	206172	3241525
598	206478	3240568
599	206802	3239905
600	207105	3238911
601	207430	3238251
602	207750	3237530
603	208052	3236523
604	208354	3235522
605	208671	3234753
606	208999	3234149
607	209301	3233152
608	209604	3232180
609	209926	3231495
610	210224	3230442
611	210566	3230066
612	210888	3229377
613	211195	3228464
614	211498	3227508
615	211821	3226835
616	212149	3226258
617	212459	3225390
618	212770	3224548
619	213083	3223741
620	213409	3223139
621	213718	3222265
622	214020	3221303
623	214325	3220375
624	214619	3219287
625	214916	3218252
626	215221	3217331
627	215522	3216357
628	215840	3215648
629	216144	3214716
630	216467	3214084
631	216774	3213207
632	217087	3212409
633	217390	3211480
634	217711	3210815
635	218012	3209853
636	218325	3209079
637	218626	3208124
638	218929	3207204
639	219255	3206609
640	219558	3205693
641	219884	3205112
642	220175	3204014
643	220532	3203885
644	220890	3203765
645	221189	3202793
646	221545	3202651
647	221921	3202796
648	222227	3201919
649	222638	3202573
650	222971	3202088
651	223325	3201913
652	223704	3202087
653	224025	3201444
654	224357	3200942
655	224776	3201691
656	225058	3200491
657	225367	3199669
658	225696	3199142
659	226031	3198684
660	226346	3197961
661	226657	3197174
662	226960	3196275
663	227281	3195627
664	227581	3194702
665	227914	3194229
666	228243	3193702
667	228558	3192978
668	228895	3192564
669	229208	3191811
670	229559	3191591
671	229985	3192423
672	230339	3192233
673	230660	3191604
674	230958	3190645
675	231306	3190382
676	231641	3189942
677	231982	3189594
678	232319	3189177
679	232629	3188388
680	232947	3187716
681	233281	3187270
682	233579	3186319
683	233888	3185533
684	234210	3184916
685	234487	3183702
686	234792	3182856
687	235093	3181967
688	235414	3181343
689	235722	3180552
690	236046	3179963
691	236373	3179431
692	236704	3178947
693	237025	3178324
694	237351	3177781
695	237682	3177300
696	238078	3177685
697	238396	3177021
698	238823	3177819
699	239180	3177680
700	239548	3177688
701	239916	3177696
702	240272	3177538
703	240663	3177852
704	241037	3177938
705	241388	3177708
706	241705	3177039
707	242042	3176637
708	242367	3176073
709	242721	3175890
710	243052	3175402
711	243381	3174898
712	243707	3174352
713	244015	3173569
714	244331	3172891
715	244640	3172125
716	244919	3170971
717	245223	3170147
718	245544	3169534
719	245853	3168773
720	246182	3168273
721	246508	3167740
722	246974	3168993
723	247364	3169272
724	247796	3170082
725	248155	3169960
726	248536	3170117
727	248883	3169843
728	249227	3169530
729	249566	3169158
730	249928	3169069
731	250286	3168922
732	250702	3169518
733	251076	3169581
734	251464	3169819
735	251809	3169521
736	252148	3169129
737	252495	3168858
738	252833	3168461
739	253185	3168234
740	253514	3167739
741	253844	3167246
742	254176	3166777
